Categoria|Distância (m)|RSSI (dBm) media|RSSI (dBm) minimo|RSSI (dBm) maximo
nao realistico|0.0|3.3227851486|3.3227851486|3.3227851486
nao realistico|1.0|-0.9829287352|-0.9829287352|-0.9829287352
nao realistico|2.0|-7.5292593143|-7.5292593143|-7.5292593143
nao realistico|3.0|-12.8515693749|-12.8515693749|-12.8515693749
nao realistico|4.0|-17.0410738352|-17.0410738352|-17.0410738352
nao realistico|5.0|-20.4385152753|-20.4385152753|-20.4385152753
nao realistico|6.0|-23.2787137932|-23.2787137932|-23.2787137932
nao realistico|7.0|-25.7121714645|-25.7121714645|-25.7121714645
nao realistico|8.0|-27.8378538645|-27.8378538645|-27.8378538645
nao realistico|9.0|-29.7233940824|-29.7233940824|-29.7233940824
nao realistico|10.0|-31.4167337221|-31.4167337221|-31.4167337221
nao realistico|11.0|-32.9529584334|-32.9529584334|-32.9529584334
nao realistico|12.0|-34.3584566785|-34.3584566785|-34.3584566785
nao realistico|13.0|-35.6535446799|-35.6535446799|-35.6535446799
nao realistico|14.0|-36.8541806762|-36.8541806762|-36.8541806762
nao realistico|15.0|-37.9731191488|-37.9731191488|-37.9731191488
nao realistico|16.0|-39.020709303|-39.020709303|-39.020709303
nao realistico|17.0|-40.005460848|-40.005460848|-40.005460848
nao realistico|18.0|-40.9344535074|-40.9344535074|-40.9344535074
nao realistico|19.0|-41.8136390886|-41.8136390886|-41.8136390886
nao realistico|20.0|-42.6480681066|-42.6480681066|-42.6480681066
nao realistico|21.0|-43.4420624127|-43.4420624127|-43.4420624127
nao realistico|22.0|-44.1993485112|-44.1993485112|-44.1993485112
nao realistico|23.0|-44.923161808|-44.923161808|-44.923161808
nao realistico|24.0|-45.6163290567|-45.6163290567|-45.6163290567
nao realistico|25.0|-46.2813342407|-46.2813342407|-46.2813342407
nao realistico|26.0|-46.9203717232|-46.9203717232|-46.9203717232
nao realistico|27.0|-47.535389498700006|-47.535389498700006|-47.535389498700006
nao realistico|28.0|-48.1281246774|-48.1281246774|-48.1281246774
nao realistico|29.0|-48.7001328138|-48.7001328138|-48.7001328138
nao realistico|30.0|-49.2528123157|-49.2528123157|-49.2528123157
nao realistico|31.0|-49.7874248914|-49.7874248914|-49.7874248914
nao realistico|32.0|-50.3051127797|-50.3051127797|-50.3051127797
nao realistico|33.0|-50.8069133531|-50.8069133531|-50.8069133531
nao realistico|34.0|-51.29377155710001|-51.29377155710001|-51.29377155710001
nao realistico|35.0|-51.7665505617|-51.7665505617|-51.7665505617
nao realistico|36.0|-52.2260409218|-52.2260409218|-52.2260409218
nao realistico|37.0|-52.6729684926|-52.6729684926|-52.6729684926
nao realistico|38.0|-53.108001295|-53.108001295|-53.108001295
nao realistico|39.0|-53.531755495199995|-53.531755495199995|-53.531755495199995
nao realistico|40.0|-53.9448006318|-53.9448006318|-53.9448006318
nao realistico|41.0|-54.3476642008|-54.3476642008|-54.3476642008
nao realistico|42.0|-54.740835690800004|-54.740835690800004|-54.740835690800004
nao realistico|43.0|-55.1247701463|-55.1247701463|-55.1247701463
nao realistico|44.0|-55.4998913228|-55.4998913228|-55.4998913228
nao realistico|45.0|-55.8665944892|-55.8665944892|-55.8665944892
nao realistico|46.0|-56.2252489237|-56.2252489237|-56.2252489237
nao realistico|47.0|-56.5762001418|-56.5762001418|-56.5762001418
nao realistico|48.0|-56.9197718915|-56.9197718915|-56.9197718915
nao realistico|49.0|-57.2562679427|-57.2562679427|-57.2562679427
nao realistico|50.0|-57.5859736972|-57.5859736972|-57.5859736972
nao realistico|51.0|-57.9091576397|-57.9091576397|-57.9091576397
nao realistico|52.0|-58.2260726477|-58.2260726477|-58.2260726477
nao realistico|53.0|-58.53695717819999|-58.53695717819999|-58.53695717819999
nao realistico|54.0|-58.8420363426|-58.8420363426|-58.8420363426
nao realistico|55.0|-59.1415228846|-59.1415228846|-59.1415228846
nao realistico|56.0|-59.4356180685|-59.4356180685|-59.4356180685
nao realistico|57.0|-59.7245124913|-59.7245124913|-59.7245124913
nao realistico|58.0|-60.0083868221|-60.0083868221|-60.0083868221
nao realistico|59.0|-60.2874124803|-60.2874124803|-60.2874124803
nao realistico|60.0|-60.5617522559|-60.5617522559|-60.5617522559
nao realistico|61.0|-60.8315608789|-60.8315608789|-60.8315608789
nao realistico|62.0|-61.0969855425|-61.0969855425|-61.0969855425
nao realistico|63.0|-61.3581663848|-61.3581663848|-61.3581663848
nao realistico|64.0|-61.6152369324|-61.6152369324|-61.6152369324
nao realistico|65.0|-61.8683245097|-61.8683245097|-61.8683245097
nao realistico|66.0|-62.1175506167|-62.1175506167|-62.1175506167
nao realistico|67.0|-62.3630312794|-62.3630312794|-62.3630312794
nao realistico|68.0|-62.6048773734|-62.6048773734|-62.6048773734
nao realistico|69.0|-62.8431949238|-62.8431949238|-62.8431949238
nao realistico|70.0|-63.0780853847|-63.0780853847|-63.0780853847
nao realistico|71.0|-63.3096458978|-63.3096458978|-63.3096458978
nao realistico|72.0|-63.5379695332|-63.5379695332|-63.5379695332
nao realistico|73.0|-63.7631455139|-63.7631455139|-63.7631455139
nao realistico|74.0|-63.985259425|-63.985259425|-63.985259425
nao realistico|75.0|-64.2043934085|-64.2043934085|-64.2043934085
nao realistico|76.0|-64.4206263459|-64.4206263459|-64.4206263459
nao realistico|77.0|-64.6340340279|-64.6340340279|-64.6340340279
nao realistico|78.0|-64.8446893145|-64.8446893145|-64.8446893145
nao realistico|79.0|-65.0526622832|-65.0526622832|-65.0526622832
nao realistico|80.0|-65.2580203699|-65.2580203699|-65.2580203699
nao realistico|81.0|-65.4608284992|-65.4608284992|-65.4608284992
nao realistico|82.0|-65.661149208|-65.661149208|-65.661149208
nao realistico|83.0|-65.8590427607|-65.8590427607|-65.8590427607
nao realistico|84.0|-66.0545672586|-66.0545672586|-66.0545672586
nao realistico|85.0|-66.2477787416|-66.2477787416|-66.2477787416
nao realistico|86.0|-66.4387312848|-66.4387312848|-66.4387312848
nao realistico|87.0|-66.6274770894|-66.6274770894|-66.6274770894
nao realistico|88.0|-66.8140665678|-66.8140665678|-66.8140665678
nao realistico|89.0|-66.998548425|-66.998548425|-66.998548425
nao realistico|90.0|-67.1809697346|-67.1809697346|-67.1809697346
nao realistico|91.0|-67.3613760105|-67.3613760105|-67.3613760105
nao realistico|92.0|-67.5398112756|-67.5398112756|-67.5398112756
nao realistico|93.0|-67.7163181258|-67.7163181258|-67.7163181258
nao realistico|94.0|-67.8909377913|-67.8909377913|-67.8909377913
nao realistico|95.0|-68.063710194|-68.063710194|-68.063710194
nao realistico|96.0|-68.2346740027|-68.2346740027|-68.2346740027
nao realistico|97.0|-68.4038666845|-68.4038666845|-68.4038666845
nao realistico|98.0|-68.5713245546|-68.5713245546|-68.5713245546
nao realistico|99.0|-68.7370828227|-68.7370828227|-68.7370828227
nao realistico|100.0|-68.9011756374|-68.9011756374|-68.9011756374
nao realistico|101.0|-69.0636361285|-69.0636361285|-69.0636361285
nao realistico|102.0|-69.2244964474|-69.2244964474|-69.2244964474
nao realistico|103.0|-69.38378780449999|-69.38378780449999|-69.38378780449999
nao realistico|104.0|-69.5415405064|-69.5415405064|-69.5415405064
nao realistico|105.0|-69.6977839899|-69.6977839899|-69.6977839899
nao realistico|106.0|-69.8525468553|-69.8525468553|-69.8525468553
nao realistico|107.0|-70.0058568975|-70.0058568975|-70.0058568975
nao realistico|108.0|-70.1577411362|-70.1577411362|-70.1577411362
nao realistico|109.0|-70.3082258443|-70.3082258443|-70.3082258443
nao realistico|110.0|-70.4573365752|-70.4573365752|-70.4573365752
nao realistico|111.0|-70.605098189|-70.605098189|-70.605098189
nao realistico|112.0|-70.751534877|-70.751534877|-70.751534877
nao realistico|113.0|-70.89667018590002|-70.89667018590002|-70.89667018590002
nao realistico|114.0|-71.0405270401|-71.0405270401|-71.0405270401
nao realistico|115.0|-71.1831277637|-71.1831277637|-71.1831277637
nao realistico|116.0|-71.32449410120002|-71.32449410120002|-71.32449410120002
nao realistico|117.0|-71.4646472374|-71.4646472374|-71.4646472374
nao realistico|118.0|-71.6036078163|-71.6036078163|-71.6036078163
nao realistico|119.0|-71.7413959597|-71.7413959597|-71.7413959597
nao realistico|120.0|-71.8780312842|-71.8780312842|-71.8780312842
nao realistico|121.0|-72.0135329184|-72.0135329184|-72.0135329184
nao realistico|122.0|-72.1479195186|-72.1479195186|-72.1479195186
nao realistico|123.0|-72.2812092845|-72.2812092845|-72.2812092845
nao realistico|124.0|-72.4134199738|-72.4134199738|-72.4134199738
nao realistico|125.0|-72.54456891650001|-72.54456891650001|-72.54456891650001
nao realistico|126.0|-72.6746730285|-72.6746730285|-72.6746730285
nao realistico|127.0|-72.8037488245|-72.8037488245|-72.8037488245
nao realistico|128.0|-72.931812431|-72.931812431|-72.931812431
nao realistico|129.0|-73.0588795979|-73.0588795979|-73.0588795979
nao realistico|130.0|-73.1849657106|-73.1849657106|-73.1849657106
nao realistico|131.0|-73.31008580069998|-73.31008580069998|-73.31008580069998
nao realistico|132.0|-73.4342545571|-73.4342545571|-73.4342545571
nao realistico|133.0|-73.5574863361|-73.5574863361|-73.5574863361
nao realistico|134.0|-73.67979517170001|-73.67979517170001|-73.67979517170001
nao realistico|135.0|-73.8011947849|-73.8011947849|-73.8011947849
nao realistico|136.0|-73.92169859279998|-73.92169859279998|-73.92169859279998
nao realistico|137.0|-74.041319718|-74.041319718|-74.041319718
nao realistico|138.0|-74.1600709967|-74.1600709967|-74.1600709967
nao realistico|139.0|-74.2779649872|-74.2779649872|-74.2779649872
nao realistico|140.0|-74.3950139776|-74.3950139776|-74.3950139776
nao realistico|141.0|-74.5112299941|-74.5112299941|-74.5112299941
nao realistico|142.0|-74.6266248077|-74.6266248077|-74.6266248077
nao realistico|143.0|-74.7412099418|-74.7412099418|-74.7412099418
nao realistico|144.0|-74.8549966787|-74.8549966787|-74.8549966787
nao realistico|145.0|-74.9679960668|-74.9679960668|-74.9679960668
nao realistico|146.0|-75.0802189267|-75.0802189267|-75.0802189267
nao realistico|147.0|-75.1916758575|-75.1916758575|-75.1916758575
nao realistico|148.0|-75.3023772425|-75.3023772425|-75.3023772425
nao realistico|149.0|-75.4123332558|-75.4123332558|-75.4123332558
nao realistico|150.0|-75.5215538669|-75.5215538669|-75.5215538669
nao realistico|151.0|-75.6300488469|-75.6300488469|-75.6300488469
nao realistico|152.0|-75.7378277733|-75.7378277733|-75.7378277733
