Categoria|Distância(m)|PDR médio da aplicação(%)|PDR mínimo da aplicação(%)|PDR máximo da aplicação(%)|PDR médio da interface(%)|PDR mínimo da interface(%)|PDR máximo da interface(%)|RSSI médio(dBm)|RSSI mínimo(dBm)|RSSI máximo(dBm)|Atraso médio da aplicação(s)|Atraso mínimo da aplicação(s)|Atraso máximo da aplicação(s)|Atraso médio da interface(s)|Atraso mínimo da interface(s)|Atraso máximo da interface(s)
sem sombreamento e sem obstáculo|0.0|69.0|69.0|69.0|100.0|100.0|100.0|-71.7452149987612|-72.11591298265857|-71.37451701486383|3.236650271739997|3.236650271739997|3.236650271739997|0.0872960460000006|0.0872960460000006|0.0872960460000006
sem sombreamento e sem obstáculo|1.0|69.0|69.0|69.0|100.0|100.0|100.0|-71.7747199788419|-72.14541796273946|-71.40402199494434|3.3529062717400007|3.3529062717400007|3.3529062717400007|0.08729604599999925|0.08729604599999925|0.08729604599999925
sem sombreamento e sem obstáculo|2.0|69.0|69.0|69.0|100.0|100.0|100.0|-71.8623189452547|-72.23301692915236|-71.49162096135704|3.4691622724300015|3.4691622724300015|3.4691622724300015|0.08729604700000021|0.08729604700000021|0.08729604700000021
sem sombreamento e sem obstáculo|3.0|68.0|68.0|68.0|100.0|100.0|100.0|-73.135713838624|-73.50103938796852|-72.77038828927948|3.3781453119599996|3.3781453119599996|3.3781453119599996|0.08729604699999861|0.08729604699999861|0.08729604699999861
sem sombreamento e sem obstáculo|4.0|69.0|69.0|69.0|100.0|100.0|100.0|-72.19969780853089|-72.57039579242844|-71.82899982463333|3.258250273120002|3.258250273120002|3.258250273120002|0.08729604800000611|0.08729604800000611|0.08729604800000611
sem sombreamento e sem obstáculo|5.0|69.0|69.0|69.0|100.0|100.0|100.0|-72.4401012688799|-72.81079925277746|-72.06940328498234|3.434506273809997|3.434506273809997|3.434506273809997|0.08729604899998895|0.08729604899998895|0.08729604899998895
sem sombreamento e sem obstáculo|6.0|69.0|69.0|69.0|100.0|100.0|100.0|-72.72064419384171|-73.09134217773574|-72.34994620994767|3.4907622745000073|3.4907622745000073|3.4907622745000073|0.08729605000000472|0.08729605000000472|0.08729605000000472
sem sombreamento e sem obstáculo|7.0|68.0|68.0|68.0|100.0|100.0|100.0|-74.1505644983136|-74.51589004765947|-73.78523894896773|3.2733453153599936|3.2733453153599936|3.2733453153599936|0.0872960519999892|0.0872960519999892|0.0872960519999892
sem sombreamento e sem obstáculo|8.0|69.0|69.0|69.0|100.0|100.0|100.0|-73.37744562010319|-73.74814360399732|-73.00674763620906|3.339850276569996|3.339850276569996|3.339850276569996|0.08729605300001256|0.08729605300001256|0.08729605300001256
sem sombreamento e sem obstáculo|9.0|69.0|69.0|69.0|100.0|100.0|100.0|-73.7418091197456|-74.11250710364266|-73.37111113584854|3.4561062779499934|3.4561062779499934|3.4561062779499934|0.08729605499997822|0.08729605499997822|0.08729605499997822
sem sombreamento e sem obstáculo|10.0|69.0|69.0|69.0|100.0|100.0|100.0|-74.12295996629659|-74.4936579501901|-73.75226198240308|3.3323622793300003|3.3323622793300003|3.3323622793300003|0.08729605699999661|0.08729605699999661|0.08729605699999661
sem sombreamento e sem obstáculo|11.0|68.0|68.0|68.0|100.0|100.0|100.0|-75.6102120473644|-75.97553759671281|-75.24488649801599|3.3485453201200017|3.3485453201200017|3.3485453201200017|0.08729605899999543|0.08729605899999543|0.08729605899999543
sem sombreamento e sem obstáculo|12.0|69.0|69.0|69.0|100.0|100.0|100.0|-74.91764786305619|-75.28834584695032|-74.54694987916206|3.42145028209|3.42145028209|3.42145028209|0.08729606099999385|0.08729606099999385|0.08729606099999385
sem sombreamento e sem obstáculo|13.0|69.0|69.0|69.0|100.0|100.0|100.0|-75.32377771442201|-75.69447569831543|-74.95307973052859|3.4177062834700065|3.4177062834700065|3.4177062834700065|0.08729606299999906|0.08729606299999906|0.08729606299999906
sem sombreamento e sem obstáculo|14.0|68.0|68.0|68.0|100.0|100.0|100.0|-76.80817106335027|-77.17349661269408|-76.44284551400646|3.2709133248800026|3.2709133248800026|3.2709133248800026|0.08729606600001502|0.08729606600001502|0.08729606600001502
sem sombreamento e sem obstáculo|15.0|69.0|69.0|69.0|100.0|100.0|100.0|-76.13948177314221|-76.51017975703571|-75.7687837892487|3.386794286919994|3.386794286919994|3.386794286919994|0.08729606799997915|0.08729606799997915|0.08729606799997915
sem sombreamento e sem obstáculo|16.0|69.0|69.0|69.0|100.0|100.0|100.0|-76.5449189073915|-76.91561689128847|-76.17422092349454|3.5030502882999826|3.5030502882999826|3.5030502882999826|0.08729606999999753|0.08729606999999753|0.08729606999999753
sem sombreamento e sem obstáculo|17.0|69.0|69.0|69.0|100.0|100.0|100.0|-76.94667686271781|-77.31737484661288|-76.57597887882274|3.2593062903700045|3.2593062903700045|3.2593062903700045|0.08729607300001194|0.08729607300001194|0.08729607300001194
sem sombreamento e sem obstáculo|18.0|68.0|68.0|68.0|100.0|100.0|100.0|-78.39661701919107|-78.76194256853591|-78.03129146984622|3.3461133316799896|3.3461133316799896|3.3461133316799896|0.08729607599996277|0.08729607599996277|0.08729607599996277
sem sombreamento e sem obstáculo|19.0|69.0|69.0|69.0|100.0|100.0|100.0|-77.73490748106549|-78.10560546496075|-77.36420949717024|3.4083942938200016|3.4083942938200016|3.4083942938200016|0.08729607800001839|0.08729607800001839|0.08729607800001839
sem sombreamento e sem obstáculo|20.0|69.0|69.0|69.0|100.0|100.0|100.0|-78.11988408989801|-78.49058207379143|-77.74918610600459|3.3446502958899873|3.3446502958899873|3.3446502958899873|0.08729608099998006|0.08729608099998006|0.08729608099998006
sem sombreamento e sem obstáculo|21.0|69.0|69.0|69.0|100.0|100.0|100.0|-78.4980998500185|-78.86879783391547|-78.12740186612155|3.3409062979600095|3.3409062979600095|3.3409062979600095|0.08729608399999447|0.08729608399999447|0.08729608399999447
sem sombreamento e sem obstáculo|22.0|68.0|68.0|68.0|100.0|100.0|100.0|-79.90012523581146|-80.26545078515532|-79.5347996864676|3.421313339160006|3.421313339160006|3.421313339160006|0.08729608700000693|0.08729608700000693|0.08729608700000693
sem sombreamento e sem obstáculo|23.0|69.0|69.0|69.0|100.0|100.0|100.0|-79.233125678199|-79.6038236620927|-78.86242769430531|3.4299943014100065|3.4299943014100065|3.4299943014100065|0.08729608900002726|0.08729608900002726|0.08729608900002726
sem sombreamento e sem obstáculo|24.0|69.0|69.0|69.0|100.0|100.0|100.0|-79.5896427013017|-79.96034068519936|-79.21894471740404|3.246250303479992|3.246250303479992|3.246250303479992|0.08729609199998896|0.08729609199998896|0.08729609199998896
sem sombreamento e sem obstáculo|25.0|69.0|69.0|69.0|100.0|100.0|100.0|-79.93876915051821|-80.30946713441172|-79.5680711666247|3.362506305550014|3.362506305550014|3.362506305550014|0.08729609500000336|0.08729609500000336|0.08729609500000336
sem sombreamento e sem obstáculo|26.0|68.0|68.0|68.0|100.0|100.0|100.0|-81.29096273977866|-81.65628828912648|-80.92563719043085|3.4965133466400045|3.4965133466400045|3.4965133466400045|0.08729609800002436|0.08729609800002436|0.08729609800002436
sem sombreamento e sem obstáculo|27.0|69.0|69.0|69.0|100.0|100.0|100.0|-80.61501744418169|-80.98571542807935|-80.24431946028403|3.33159430968999|3.33159430968999|3.33159430968999|0.08729610099997945|0.08729610099997945|0.08729610099997945
sem sombreamento e sem obstáculo|28.0|69.0|69.0|69.0|100.0|100.0|100.0|-80.9423231786381|-81.31302116253462|-80.57162519474159|3.327850311759976|3.327850311759976|3.327850311759976|0.08729610399994113|0.08729610399994113|0.08729610399994113
sem sombreamento e sem obstáculo|29.0|68.0|68.0|68.0|100.0|100.0|100.0|-82.25878154460906|-82.62410709395338|-81.89345599526474|3.4188813527599633|3.4188813527599633|3.4188813527599633|0.08729610699992918|0.08729610699992918|0.08729610699992918
sem sombreamento e sem obstáculo|30.0|69.0|69.0|69.0|100.0|100.0|100.0|-81.57596219479491|-81.94666017869247|-81.20526421089735|3.416938315900006|3.416938315900006|3.416938315900006|0.08729611000002267|0.08729611000002267|0.08729611000002267
sem sombreamento e sem obstáculo|31.0|69.0|69.0|69.0|100.0|100.0|100.0|-81.8826142854339|-82.25331226932694|-81.51191630154086|3.29319431797001|3.29319431797001|3.29319431797001|0.08729611299998435|0.08729611299998435|0.08729611299998435
sem sombreamento e sem obstáculo|32.0|69.0|69.0|69.0|100.0|100.0|100.0|-82.1827182722388|-82.55341625613387|-81.81202028834373|3.409450320040014|3.409450320040014|3.409450320040014|0.08729611600005148|0.08729611600005148|0.08729611600005148
sem sombreamento e sem obstáculo|33.0|68.0|68.0|68.0|100.0|100.0|100.0|-83.45505654796388|-83.82038209731117|-83.08973099861659|3.4940813609199903|3.4940813609199903|3.4940813609199903|0.08729611900001627|0.08729611900001627|0.08729611900001627
sem sombreamento e sem obstáculo|34.0|69.0|69.0|69.0|100.0|100.0|100.0|-82.76400581220781|-83.13470379610288|-82.39330782831274|3.258538324179972|3.258538324179972|3.258538324179972|0.08729612199997486|0.08729612199997486|0.08729612199997486
sem sombreamento e sem obstáculo|35.0|69.0|69.0|69.0|100.0|100.0|100.0|-83.0455560587005|-83.41625404259575|-82.67485807480524|3.314794326250012|3.314794326250012|3.314794326250012|0.08729612499998926|0.08729612499998926|0.08729612499998926
sem sombreamento e sem obstáculo|36.0|69.0|69.0|69.0|100.0|100.0|100.0|-83.321287841774|-83.69198582567104|-82.95058985787695|3.4910503290099952|3.4910503290099952|3.4910503290099952|0.08729612899997333|0.08729612899997333|0.08729612899997333
sem sombreamento e sem obstáculo|37.0|68.0|68.0|68.0|100.0|100.0|100.0|-84.5538253110184|-84.91915086036335|-84.18849976167346|3.3892813697599924|3.3892813697599924|3.3892813697599924|0.08729613199995905|0.08729613199995905|0.08729613199995905
sem sombreamento e sem obstáculo|38.0|69.0|69.0|69.0|100.0|100.0|100.0|-83.856014420046|-84.22671240393969|-83.4853164361523|3.280138333150026|3.280138333150026|3.280138333150026|0.08729613500005487|0.08729613500005487|0.08729613500005487
sem sombreamento e sem obstáculo|39.0|69.0|69.0|69.0|100.0|100.0|100.0|-84.115359670258|-84.48605765415142|-83.74466168636458|3.3963943352200294|3.3963943352200294|3.3963943352200294|0.08729613800006927|0.08729613800006927|0.08729613800006927
sem sombreamento e sem obstáculo|40.0|68.0|68.0|68.0|100.0|100.0|100.0|-85.32075155936266|-85.68607710871048|-84.95542601001485|3.491649375880006|3.491649375880006|3.491649375880006|0.08729614099999759|0.08729614099999759|0.08729614099999759
sem sombreamento e sem obstáculo|41.0|69.0|69.0|69.0|100.0|100.0|100.0|-84.6188578573238|-84.98955584121995|-84.24815987342765|3.245482339359951|3.245482339359951|3.245482339359951|0.08729614399999264|0.08729614399999264|0.08729614399999264
sem sombreamento e sem obstáculo|42.0|69.0|69.0|69.0|100.0|100.0|100.0|-84.8633338070907|-85.23403179098835|-84.49263582319304|3.3617383414299913|3.3617383414299913|3.3617383414299913|0.08729614699995432|0.08729614699995432|0.08729614699995432
sem sombreamento e sem obstáculo|43.0|69.0|69.0|69.0|100.0|100.0|100.0|-85.103167803611|-85.47386578750805|-84.73246981971396|3.477994344189974|3.477994344189974|3.477994344189974|0.08729615099993839|0.08729615099993839|0.08729615099993839
sem sombreamento e sem obstáculo|44.0|68.0|68.0|68.0|100.0|100.0|100.0|-86.2756314899952|-86.64095703934304|-85.91030594064738|3.3268493847199716|3.3268493847199716|3.3268493847199716|0.08729615399994038|0.08729615399994038|0.08729615399994038
sem sombreamento e sem obstáculo|45.0|69.0|69.0|69.0|100.0|100.0|100.0|-85.5694990062027|-85.94019699010036|-85.19880102230505|3.2670823483300047|3.2670823483300047|3.2670823483300047|0.08729615700001991|0.08729615700001991|0.08729615700001991
sem sombreamento e sem obstáculo|46.0|69.0|69.0|69.0|100.0|100.0|100.0|-85.7962776976085|-86.16697568150208|-85.42557971371492|3.443338350400008|3.443338350400008|3.443338350400008|0.08729615999998161|0.08729615999998161|0.08729615999998161
sem sombreamento e sem obstáculo|47.0|69.0|69.0|69.0|100.0|100.0|100.0|-86.0189775327387|-86.38967551663636|-85.64827954884105|3.439594352469976|3.439594352469976|3.439594352469976|0.08729616299999601|0.08729616299999601|0.08729616299999601
sem sombreamento e sem obstáculo|48.0|68.0|68.0|68.0|100.0|100.0|100.0|-87.16181746240827|-87.5271430117552|-86.79649191306133|3.2820493935600097|3.2820493935600097|3.2820493935600097|0.08729616700004365|0.08729616700004365|0.08729616700004365
sem sombreamento e sem obstáculo|49.0|69.0|69.0|69.0|100.0|100.0|100.0|-86.4526478828423|-86.82334586673528|-86.08194989894932|3.3486823572999858|3.3486823572999858|3.3486823572999858|0.08729616999999448|0.08729616999999448|0.08729616999999448
sem sombreamento e sem obstáculo|50.0|69.0|69.0|69.0|100.0|100.0|100.0|-86.6638599741826|-87.03455795807686|-86.29316199028834|3.4649383593699894|3.4649383593699894|3.4649383593699894|0.08729617299995616|0.08729617299995616|0.08729617299995616
sem sombreamento e sem obstáculo|51.0|69.0|69.0|69.0|100.0|100.0|100.0|-86.87147665555081|-87.24217463944588|-86.50077867165574|3.281194361439993|3.281194361439993|3.281194361439993|0.08729617599997057|0.08729617599997057|0.08729617599997057
sem sombreamento e sem obstáculo|52.0|68.0|68.0|68.0|100.0|100.0|100.0|-87.9875550607604|-88.35288061010881|-87.62222951141199|3.357249401720037|3.357249401720037|3.357249401720037|0.08729617900002375|0.08729617900002375|0.08729617900002375
sem sombreamento e sem obstáculo|53.0|69.0|69.0|69.0|100.0|100.0|100.0|-87.2763571812027|-87.64705516510035|-86.90565919730504|3.4302823662700024|3.4302823662700024|3.4302823662700024|0.08729618300002176|0.08729618300002176|0.08729618300002176
sem sombreamento e sem obstáculo|54.0|69.0|69.0|69.0|100.0|100.0|100.0|-87.473827224861|-87.84452520875469|-87.1031292409673|3.426538368340116|3.426538368340116|3.426538368340116|0.08729618600014162|0.08729618600014162|0.08729618600014162
sem sombreamento e sem obstáculo|55.0|68.0|68.0|68.0|100.0|100.0|100.0|-88.27228648474707|-88.76758813408614|-87.776984835408|3.279617408519989|3.279617408519989|3.279617408519989|0.08729618899997149|0.08729618899997149|0.08729618899997149
sem sombreamento e sem obstáculo|56.0|69.0|69.0|69.0|100.0|100.0|100.0|-87.55572398754849|-88.05830948467258|-87.0531384904244|3.3956263724800375|3.3956263724800375|3.3956263724800375|0.08729619200006498|0.08729619200006498|0.08729619200006498
sem sombreamento e sem obstáculo|57.0|69.0|69.0|69.0|100.0|100.0|100.0|-87.7439223260388|-88.24650782316257|-87.24133682891502|3.5118823752400203|3.5118823752400203|3.5118823752400203|0.08729619600004905|0.08729619600004905|0.08729619600004905
sem sombreamento e sem obstáculo|58.0|69.0|69.0|69.0|100.0|100.0|100.0|-87.92920723803121|-88.43179273515493|-87.42662174090749|3.2681383773099513|3.2681383773099513|3.2681383773099513|0.08729619899985255|0.08729619899985255|0.08729619899985255
